skupina_diagnoz;kod_hlavnej_diagnozy;nazov_hlavnej_diagnozy
Vybrané nefrologické ochorenia;m311;Trombotická mikroangiopatia
Vybrané nefrologické ochorenia;n00-;Akútny nefritický syndróm
Vybrané nefrologické ochorenia;n01-;Rýchlo progredujúci nefritický syndróm
Vybrané nefrologické ochorenia;n02-;Recidivujúca a pretrvávajúca hematúria
Vybrané nefrologické ochorenia;n03-;Chronický nefritický syndróm
Vybrané nefrologické ochorenia;n04-;Nefrotický syndróm
Vybrané nefrologické ochorenia;n05-;Nefritický syndróm, bližšie neurčený
Vybrané nefrologické ochorenia;n06-;Izolovaná proteinúria s morfologickými zmenami
Vybrané nefrologické ochorenia;n07-;Hereditárna nefropatia, nezatriedená inde
Vybrané nefrologické ochorenia;n08-;Glomerulová choroba pri chorobách zatriedených inde
Vybrané nefrologické ochorenia;n10;Akútna tubulointersticiálna nefritída
Vysoko komplexné endokrinopatie;d352;Nezhubný nádor podmozgovej žľazy
Vysoko komplexné endokrinopatie;e163;Zvýšená sekrécia glukagónu
Vysoko komplexné endokrinopatie;e22-;Hyperfunkcia hypofýzy
Vysoko komplexné endokrinopatie;e230;Hypopituitarizmus
Vysoko komplexné endokrinopatie;e231;Hypopituitarizmus zapríčinený liekom
Vysoko komplexné endokrinopatie;e233;Dysfunkcia hypotalamu, nezatriedená inde
Vysoko komplexné endokrinopatie;e236;Iná choroba hypofýzy
Vysoko komplexné endokrinopatie;e237;Choroba hypofýzy, bližšie neurčená
Vysoko komplexné endokrinopatie;e24-;Cushingov syndróm
Vysoko komplexné endokrinopatie;e25-;Kongenitálna adrenálna hyperplázia
Vysoko komplexné endokrinopatie;e26-;Hyperaldosteronizmus
Vysoko komplexné endokrinopatie;e270;Iná hyperfunkcia kôry nadobličiek
Vysoko komplexné endokrinopatie;e271;Primárna nedostatočnosť kôry nadobličiek (Addisonova choroba)
Vysoko komplexné endokrinopatie;e273;Nedostatočnosť kôry nadobličiek zapríčinená liekmi
Vysoko komplexné endokrinopatie;e274;Iná a bližšie neurčená nedostatočnosť kôry nadobličiek
Vysoko komplexné endokrinopatie;e299;Porucha funkcie semenníkov, bližšie neurčená
Vysoko komplexné endokrinopatie;e30-;Porucha puberty, nezatriedená inde
Vysoko komplexné endokrinopatie;e31-;Porucha činnosti viacerých žliaz s vnútorným vylučovaním [polyglandulárna dysfunkcia]
Vysoko komplexné endokrinopatie;e340;Karcinoidový syndróm
Vysoko komplexné endokrinopatie;e341;Iná hypersekrécia črevných hormónov
Vysoko komplexné endokrinopatie;e342;Ektopická sekrécia hormónov, nezatriedená inde
Vysoko komplexné endokrinopatie;e343;Nízky vzrast, nezatriedený inde
Vysoko komplexné endokrinopatie;e344;Konštitučne vysoká postava
Vysoko komplexné endokrinopatie;e345-;Syndróm rezistencie na androgény
Vysoko komplexné ochorenia imunitného systému;d805;Imunodeficit so zvýšeným imunoglobulínu M [IgM]
Vysoko komplexné ochorenia imunitného systému;d810;Ťažký kombinovaný imunodeficit [SCID] s retikulovou dysgenézou
Vysoko komplexné ochorenia imunitného systému;d811;Ťažký kombinovaný imunodeficit [SCID] s malým počtom T-buniek a B-buniek
Vysoko komplexné ochorenia imunitného systému;d812;Ťažký kombinovaný imunodeficit [SCID] s malým alebo normálnym počtom B-buniek
Vysoko komplexné ochorenia imunitného systému;d813;Deficit adenozíndezaminázy [ADA]
Vysoko komplexné ochorenia imunitného systému;d814;Nezelofov syndróm
Vysoko komplexné ochorenia imunitného systému;d815;Nedostatok purínnukleozid-fosforylázy [PNP]
Vysoko komplexné ochorenia imunitného systému;d816;Defekt hlavného komplexu histokompatibility I. triedy
Vysoko komplexné ochorenia imunitného systému;d817;Defekt hlavného komplexu histokompatibility II. triedy
Vysoko komplexné ochorenia imunitného systému;d820;Wiskottov-Aldrichov syndróm
Vysoko komplexné ochorenia imunitného systému;d821;Di Georgeov syndróm
Vysoko komplexné ochorenia imunitného systému;d822;Imunodeficit spojený s disproporčným malým vzrastom
Vysoko komplexné ochorenia imunitného systému;d823;Imunodeficit spojený s vrodenou defektnou odpoveďou na Epsteinov-Barrovej vírus
Vysoko komplexné ochorenia imunitného systému;d824;Syndróm nadbytku imunoglobulínu E [IgE]
Vysoko komplexné ochorenia imunitného systému;d841;Porucha komplementového systému
Vysoko komplexné ochorenia imunitného systému;z280;Nevykonaná imunizácia pre kontraindikáciu
Závažné ochorenia pankreasu;k8511;Akútna biliárna pankreatitída, s orgánovou komplikáciou
Závažné ochorenia pankreasu;k861;Iná chronická pankreatitída
Závažné ochorenia pankreasu;k862;Cysta pankreasu
Závažné ochorenia pankreasu;k863;Pseudocysta pankreasu
Závažné ochorenia pankreasu;k868;Iná choroba podžalúdkovej žľazy, bližšie určená
Závažné ochorenia pečene;k740;Fibróza pečene
Závažné ochorenia pečene;k743;Primárna biliárna cirhóza
Ťažké kombinované imunodeficiencie;d81-;Kombinovaný imunodeficit
Žlčníkový kameň a iné vybrané ochorenia;k8001;Kameň žlčníka s akútnou cholecystitídou, s obštrukciou žlčových ciest
Žlčníkový kameň a iné vybrané ochorenia;k8011;Kameň žlčníka s inou cholecystitídou, s obštrukciou žlčových ciest
Žlčníkový kameň a iné vybrané ochorenia;k8021;Kameň žlčníka bez cholecystitídy, s obštrukciou žlčových ciest
Žlčníkový kameň a iné vybrané ochorenia;k8031;Kameň žlčového vývodu s cholangitídou, s obštrukciou žlčových ciest
Žlčníkový kameň a iné vybrané ochorenia;k8041;Kameň žlčového vývodu s cholecystitídou, s obštrukciou žlčových ciest
Žlčníkový kameň a iné vybrané ochorenia;k8051;Kameň žlčového vývodu bez cholangitídy alebo cholecystitídy, s obštrukciou žlčových ciest
Žlčníkový kameň a iné vybrané ochorenia;k8081;Iná cholelitiáza, s obštrukciou žlčových ciest
Žlčníkový kameň a iné vybrané ochorenia;k830;Zápal žlčových ciest
Žlčníkový kameň a iné vybrané ochorenia;k831;Obštrukcia žlčových ciest
Žlčníkový kameň a iné vybrané ochorenia;k832;Perforácia žlčových ciest
Žlčníkový kameň a iné vybrané ochorenia;k833;Fistula žlčových ciest
Žlčníkový kameň a iné vybrané ochorenia;k834;Spazmus Oddiho zvierača
